Task ID,Task Name,tags,Przeznaczenie (drop down),Klawiatura (labels),Obudowa (labels),Procesor (drop down),Model Procesora (short text),Grafika (short text),RAM (drop down),Dysk (drop down),Rozdzielczość (drop down),Matryca (labels),Problemy (labels),Uwagi (text),Regał (drop down),Lists,Zamówienie (short text)
86bygdkwv,PF16NU43,,Magazyn,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],,,,,,,,[],,,[Mix - przed 11.2023],
86bwzxwck,D465902,[dell inspiron 5370],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],,,,,,,[Zbita],"[Zawiasy , Ramka Matrycy]","NO TEST
",,[Mix - przed 11.2023],
86bwzxzkk,atf297046,[dell inspiron 5370],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],,,,,,,[Zbita],,NO TEST,,[Mix - przed 11.2023],
86bwzy18c,hy19p42,[dell inspiron 5370],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],,,,,,,,[Nie włącza się],NO TEST,,[Mix - przed 11.2023],
86bwkxrr8,H6T0NW2,[dell latitude 3500],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Uszczerbek],,,,,,,[Zbita],,bateria OK,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwzymr9,bl5px93,[dell latitude 3510],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,10210U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[Dźwięk],nie wykrywa głośników.,,[Mix - przed 11.2023],
86bwzyy9f,g6znx93,[dell latitude 3510],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],,,,,,,[Zbita],[Nie włącza się],"NO TEST
",,[Mix - przed 11.2023],
86bwm6ya2,H0SX9S2,[dell latitude 3590],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],,,,,,,[Zwykłe ryski / otarcia],"[Włącznik, Nie włącza się]","tylko ścwieci sie klawiatura,
coś lata",,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwm6yz7,dhyx9s2,[dell latitude 3590],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]","[Klapa wymaga skina, Ok]",i5,7200U,,8,256,1920 x 1080,[Zwykłe ryski / otarcia],[Włącznik],,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwm6z4y,fxrx9s2,[dell latitude 3590],Przyjęcie,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],,,,,,,[],"[Włącznik, Nie włącza się]",,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwzxmwr,9JGGRQ2,[dell latitude 5290],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,7300U,,8,256,1366 x 768,[Bez wad],"[USB , Bateria brak]",,,[od 1. 08. 2024],
86bzpa0z8,D802NV2,[dell latitude 5290],Serwis,[Francuska],,i5,8350U,,8,BRAK,1366 x 768,[Zbita],"[USB , Touchpad]",,,[od 1.07.2024 wprowadzone],
86bzpa1vy,jfftqq2,[dell latitude 5290],Serwis,[Francuska],,,,,8,BRAK,,[],"[Spód X, Bateria brak, Nie włącza się]","ZIMA
",,[od 1.07.2024 wprowadzone],
86bzwfc0b,9rr1xt2,[dell latitude 5290],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[],,,,,,,[],[Nie włącza się],"PO ZALANIU
",,[od 1. 08. 2024],
86bzwfe6x,d47frq2,[dell latitude 5290],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[],,,,,,,[],[Nie włącza się],,,[od 1. 08. 2024],
86bzx4b2f,BDMP2X2,[dell latitude 5290],Serwis,[Francuska],,,,,,,,,"[Klapa X, Nie włącza się]","BRAK OBRAZU
",,[od 1. 08. 2024],
86bzx4c40,1VS53X2,[dell latitude 5290],Serwis,[Francuska],,,,,,,,,"[Klapa X, Nie włącza się]","BRAK OBRAZU
",,[od 1. 08. 2024],
86bwm1f71,4bk0yt2,[dell latitude 5290 2-in-1],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8350U,,8,256,1920 x 1080,"[Zwykłe ryski / otarcia, Dotyk]",,,,[21-22.11.23 ATF FRANCJA (KURIER) 239245 -],
86bwh68y6,fwshwz2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,,,[20.11.23 ATF Francja 239239 -],
86bwh69e9,dy9tjw2,[dell latitude 5300],Przyjęcie,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",,,,[20.11.23 ATF Francja 239239 -],
86bwha3pb,2KMYMW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,,[Hasło Bios],no test,3,[20.11.23 ATF Francja 239239 -],
86bwhv14g,CXXHWZ2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,[Zbita],,NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhv2tz,20symw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Pęknięcie],,,,,,,[Zbita],[Inny],"NO TEST, Klapa do wymiany",3,[20.11.23 ATF Francja 239239 -],
86bwhykt0,35R6NW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhykv6,7WBTJW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,,,[],[],"NO TEST, nie można zbootować z USB",3,[20.11.23 ATF Francja 239239 -],
86bwhykx1,5Z9TJW2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Francuska]",[Ok],,,,,,,[Zbita],[],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhym1a,fcthwz2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]","[Klapa wymaga skina, Ok]",i5,8365U,,8,256,1366 x 768,[Zwykłe ryski / otarcia],,,3,[20.11.23 ATF Francja 239239 -],
86bwhymfh,jmmymw2,[dell latitude 5300],Serwis,"[Pionowy Enter ISO / EU, Podświetlana, Francuska]",[Ok],i5,8365U,,8,,,[],[Hasło Bios],NO TEST,3,[20.11.23 ATF Francja 239239 -],
86bwhymzd,9XVYMW2,[dell latitude 5300],Magazyn,"[Pionowy Enter ISO / EU, Francuska]",[Ok],i5,8365U,,8,256,1366 x 768,"[Zwykłe ryski / otarcia, Zwykłe poświatki]",[],,3,[20.11.23 ATF Francja 239239 -],
